id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1489424,"Welcoming, easygoing, comfy bed, entire level",5294164,Efrat,FOURTEENTH WARD,42.66719,-73.8158,Private room,50,1,250,21-04-2024,1.93,1,255,48
2992450,Luxury 2 bedroom apartment,4621559,Kenneth,THIRD WARD,42.65789,-73.7537,Entire home/apt,,28,9,17-08-2022,0.08,1,36,0
3820211,Restored Precinct in Center Sq. w/Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,118,2,300,28-04-2024,2.53,4,361,15
5651579,Large studio apt  by Capital Center & ESP@,29288920,Gregg,SECOND WARD,42.64615,-73.75966,Entire home/apt,90,1,343,21-04-2024,3.13,2,15,28
6623339,Center Sq. Loft in Converted Precinct w/ Parking,19648678,Terra,SIXTH WARD,42.65222,-73.76724,Entire home/apt,120,2,314,27-04-2024,2.89,4,357,11
8035768,Entire Beautiful French Victorian 1884,42430824,John M,TENTH WARD,42.66088,-73.78147,Entire home/apt,,2,56,28-01-2024,0.53,2,334,4
8035784,Delightful French Victorian,42430824,John M,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,25-07-2020,0.17,2,179,0
9005989,"Studio in The heart of Center SQ, in Albany NY",17766924,Sugey,SIXTH WARD,42.65559,-73.76506,Entire home/apt,88,1,587,16-04-2024,6.22,1,341,36
9501054,Spacious suite with full bath by Capital  Center,29288920,Gregg,SECOND WARD,42.64734,-73.75851,Private room,69,1,381,02-05-2024,3.79,2,61,40
10768745,Alb hospital area studio bath wifi. (Red),5691268,Elizabeth,FOURTEENTH WARD,42.66078,-73.80553,Entire home/apt,50,1,649,25-04-2024,6.46,2,135,110
11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,4259750,Peter,FIFTEENTH WARD,42.67567,-73.82438,Entire home/apt,361,1,153,27-04-2024,1.58,9,353,31
11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,61700428,Adam,ELEVENTH WARD,42.67583,-73.78297,Private room,55,1,231,29-02-2024,2.39,2,364,13
12284708,"Well Lit Modern Room, Perfect Location Albany",36438637,Chad,TENTH WARD,42.65912,-73.78349,Private room,45,18,61,26-10-2019,0.63,4,186,0
12799126,Private Room in the Hearth of the Albany,69729286,Musab,SIXTH WARD,42.65154,-73.76867,Private room,50,5,28,06-02-2024,0.62,2,339,3
13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms!,1364123,Akhilesh,FIFTEENTH WARD,42.66972,-73.82753,Entire home/apt,219,2,176,14-04-2024,1.84,1,312,14
14316232,"Unique Modern Room, Perfect Location Albany",36438637,Chad,TENTH WARD,42.65726,-73.78219,Private room,45,18,48,07-01-2024,0.51,4,316,2
14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,4259750,Peter,FIFTEENTH WARD,42.673512,-73.819679,Entire home/apt,260,1,86,03-04-2024,0.94,9,246,22
15580397,Albany Med/Downtown Albany/Colleges/BLUE ROOM.,89705052,Share,NINTH WARD,42.65651,-73.77887,Private room,,2,40,08-03-2024,0.47,3,0,8
16531782,On a little park in Albany pine hills. (Blue),5691268,Elizabeth,FOURTEENTH WARD,42.66075,-73.80605,Entire home/apt,70,1,381,01-05-2024,7.94,2,294,131
17238066,"$53($25 foreign student)Twin, noa/cno
Smoke freeBF",61700428,Adam,FIFTH WARD,42.67614,-73.78169,Private room,53,3,131,26-03-2024,1.53,2,364,3
17514620,Cozy Modern Room Perfect Location Albany,36438637,Chad,TENTH WARD,42.6584,-73.78309,Private room,45,18,54,07-04-2024,0.62,4,338,7
18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,4259750,Peter,FIFTEENTH WARD,42.67637,-73.82395,Entire home/apt,306,1,57,26-06-2022,0.76,9,365,0
19527043,Charming 1 Bedroom in a Historic Residential Home,15223767,Ed,NINTH WARD,42.65312,-73.78161,Private room,70,1,71,22-10-2023,1.05,3,262,12
19571496,Modern Studio Perfect Location Albany,36438637,Chad,TENTH WARD,42.6585,-73.78414,Private room,50,18,27,17-02-2024,0.38,4,277,3
20519885,All The Comforts Of Home In Albany!,67171774,Michael And Flerida,FOURTEENTH WARD,42.65846,-73.80201,Entire home/apt,275,4,96,24-04-2024,1.21,1,318,21
20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,4259750,Peter,FIFTEENTH WARD,42.675,-73.82382,Entire home/apt,209,4,55,31-12-2022,0.69,9,310,0
20633175,"Garden Apartment, on the Park, close to Capital.",65414985,James,SEVENTH WARD,42.64939,-73.76865,Entire home/apt,126,2,130,28-05-2023,1.75,2,297,1
20671966,The Metropolitan,98744672,Bela,NINTH WARD,42.65532,-73.78244,Entire home/apt,75,2,39,01-06-2023,0.48,8,252,1
21052414,Cozy bedroom with (2) walk-in closets,135717458,Chad,THIRTEENTH WARD,42.66565,-73.77975,Private room,40,18,40,08-12-2023,0.56,3,321,5
21392315,The Blair Suite,98744672,Bela,NINTH WARD,42.65372,-73.78244,Entire home/apt,70,2,113,10-03-2024,1.44,8,303,15
21449583,/zBig Blue Ranch\ 1962 SUNY Eagle Hill 4Beds 2Bath,4259750,Peter,FIFTEENTH WARD,42.67547,-73.82402,Entire home/apt,570,4,8,27-07-2018,0.1,9,364,0
21752534,"NEW LISTING! Modern, completely updated, LOCATION!",152762198,Allen,TENTH WARD,42.66045,-73.77833,Entire home/apt,75,3,163,21-04-2024,2.08,9,356,15
21769213,Cozy downstairs bedroom in quiet neighborhood!,135717458,Chad,ELEVENTH WARD,42.66572,-73.77834,Private room,35,18,24,01-03-2024,0.31,3,267,5
21769439,Cozy upstairs room with (1) walk-in closet,135717458,Chad,ELEVENTH WARD,42.66703,-73.77842,Private room,35,18,22,11-02-2024,0.28,3,271,2
22398196,Elegant Guest Suite in our beautiful Victorian!,98744672,Bela,NINTH WARD,42.65501,-73.78122,Private room,55,2,105,11-01-2024,1.37,8,349,13
22431640,"Bright Central Apartment Near Hospital, Park and",108848737,Jake,SEVENTH WARD,42.64717,-73.77135,Entire home/apt,75,1,441,22-04-2024,6.01,2,21,27
24120690,One Bedroom apartment with private entrance,156446839,Domini,FOURTEENTH WARD,42.65975,-73.81196,Private room,75,2,121,02-02-2024,1.64,1,238,20
24606880,The Western Suite,98744672,Bela,NINTH WARD,42.65431,-73.78178,Private room,55,2,40,08-03-2024,0.59,8,302,2
24655782,⭐⭐Check it out! This apartmnt has a bunch of great,108848737,Jake,SEVENTH WARD,42.6477,-73.7714,Entire home/apt,79,1,361,29-04-2024,4.93,2,138,37
25549565,Quiet and Pretty in the Heart of Center Square,9666970,Janet,SIXTH WARD,42.65345,-73.7645,Entire home/apt,91,1,795,21-04-2024,11.05,1,111,124
25976514,City Feel - Green Room,31757246,Leiba,SIXTH WARD,42.65333,-73.77293,Private room,100,3,12,27-07-2023,0.17,1,358,1
26139592,Garden Apartment in Ctr. Square: Monthly Discounts,6833937,Farah,SIXTH WARD,42.65403,-73.76325,Entire home/apt,89,2,112,02-04-2024,1.6,1,297,15
27670660,The Rock & Roll Suite,98744672,Bela,NINTH WARD,42.65430832,-73.78177643,Private room,55,2,23,02-04-2024,0.36,8,271,14
27692601,Albany Cozy home with fireplaces and Sunroom,202580880,Rosanne,EIGHTH WARD,42.64514,-73.80668,Entire home/apt,,3,14,08-10-2022,0.21,1,172,0
28341274,Private room in historic building on the park,54394342,Alice,SIXTH WARD,42.65821,-73.76917,Private room,75,1,62,28-02-2024,0.91,1,340,20
28400263,Private Room in Historic Residential Home,15223767,Ed,NINTH WARD,42.65464,-73.78348,Private room,50,1,246,08-04-2024,3.7,3,256,25
28519423,Albany Med/Downtown Albany/Colleges/RED ROOM.,89705052,Share,TENTH WARD,42.65746,-73.77904,Private room,,2,63,26-04-2024,0.93,3,1,18
28722270,✍Historic Loft Suite @ Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,98,1,629,28-04-2024,9.48,7,346,48
28868857,⭐Cozy Garden Suite Full Amenities @Downtown Albany,44434571,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,60,1,555,22-04-2024,8.45,7,302,84
28929840,"Spacious
private suite and private bath",194113768,Rachel,FOURTH WARD,42.6737,-73.75313,Private room,95,1,6,27-05-2023,0.09,1,178,1
29605579,Funky Urban 1 Bedroom Apt w/ Parking in Center Sq,19648678,Terra,SIXTH WARD,42.65235,-73.76714,Entire home/apt,117,2,90,01-04-2024,1.34,4,284,9
30189794,Seashore Suite At The Inn on South Lake,98744672,Bela,NINTH WARD,42.6533,-73.78114,Private room,55,2,64,30-12-2023,1,8,20,10
32279028,"Cosy, comfy and quiet for one",172223381,Diana,EIGHTH WARD,42.64936,-73.80278,Private room,49,1,199,08-04-2024,3.14,2,6,37
32450400,Moroccan Sands,97330032,Sherrell,FOURTH WARD,42.6761,-73.73825,Private room,122,3,0,,,1,180,0
32993402,✨Historic Full Amenities 2BR Apt @Downtown Albany,44434571,Earl,SECOND WARD,42.64563,-73.75311,Entire home/apt,113,1,405,14-04-2024,6.48,7,243,29
33558235,"❣️Historic, Spacious & Fun 2BR Apt @Dwtown Albany",44434571,Earl,SECOND WARD,42.64585,-73.75297,Entire home/apt,124,1,406,22-04-2024,6.61,7,347,46
34330970,Muhammed Ali Lounge & Pool Hall ⬢⬡,232967878,Diana,SECOND WARD,42.64335,-73.7579,Entire home/apt,140,1,266,21-04-2024,4.45,22,75,67
35793179,Cozy Bedroom in Historic Residential Home,15223767,Ed,SEVENTH WARD,42.65259,-73.78223,Private room,50,1,153,12-04-2024,2.6,3,240,43
35914565,The Poker Room ♤ Downtown Albany,232967878,Diana,SECOND WARD,42.64506,-73.75727,Entire home/apt,100,1,270,21-04-2024,4.58,22,73,52
36443605,Sophisticated Retreat: 2BR in heart of Albany,188679144,Elizabeth,THIRTEENTH WARD,42.66619,-73.79031,Entire home/apt,,2,52,29-02-2024,0.89,8,303,5
38321579,Comfy and quiet,172223381,Diana,EIGHTH WARD,42.65085,-73.80239,Private room,57,1,311,05-05-2024,5.49,2,121,103
39093517,Secure 5-Star Oasis with Purified Air & Parking,299638115,Dominick And Flerida,SIXTH WARD,42.65507,-73.76138,Entire home/apt,151,4,39,20-04-2024,0.73,3,340,4
39698576,Spacious Designer 1-Bed Near Albany Med,188679144,Elizabeth,NINTH WARD,42.65483,-73.78033,Entire home/apt,,5,23,22-09-2023,0.42,8,339,1
39836487,Completely Renovated Center Square Top FL Studio,306508346,Adem,SIXTH WARD,42.65547,-73.7651,Entire home/apt,78,1,258,04-05-2024,4.71,2,55,71
39873571,Lovely 2 bedroom apartment in downtown Albany.,306508346,Adem,THIRD WARD,42.65682,-73.76298,Entire home/apt,78,1,139,30-08-2023,6.06,2,202,33
40491172,"Renovated, private parking,location, washer dryer!",152762198,Allen,THIRTEENTH WARD,42.66827,-73.79231,Entire home/apt,98,3,106,28-04-2024,1.97,9,336,20
40828178,Comfortable! One Bedroom A/C Apartment Queen Bed,47491906,Lloyd,FOURTH WARD,42.67773,-73.73899,Entire home/apt,113,1,166,07-08-2023,3.16,1,282,4
